"member_casual","Date","month","rideable_type","total_rides","Year"
"member",8,"February","electric_bike",117,2021
"member",9,"February","classic_bike",939,2021
"member",9,"February","electric_bike",208,2021
"member",10,"February","classic_bike",838,2021
"member",10,"February","electric_bike",263,2021
"member",11,"February","classic_bike",880,2021
"member",11,"February","electric_bike",310,2021
"member",12,"February","classic_bike",1093,2021
"member",12,"February","electric_bike",454,2021
"member",13,"February","classic_bike",395,2021
"member",13,"February","electric_bike",190,2021
"member",14,"February","classic_bike",379,2021
"member",14,"February","electric_bike",22,2021
"member",15,"February","classic_bike",271,2021
"member",15,"February","electric_bike",44,2021
"member",16,"February","classic_bike",176,2021
"member",16,"February","electric_bike",55,2021
"member",17,"February","classic_bike",408,2021
"member",17,"February","electric_bike",141,2021
"member",18,"February","classic_bike",488,2021
"member",18,"February","electric_bike",201,2021
"member",19,"February","classic_bike",615,2021
"member",19,"February","electric_bike",211,2021
"member",20,"February","classic_bike",676,2021
"member",20,"February","electric_bike",263,2021
"member",21,"February","classic_bike",526,2021
"member",21,"February","electric_bike",197,2021
"member",22,"February","classic_bike",976,2021
"member",22,"February","electric_bike",331,2021
"member",23,"February","classic_bike",1760,2021
"member",23,"February","electric_bike",559,2021
"member",24,"February","classic_bike",1974,2021
"member",24,"February","electric_bike",645,2021
"member",25,"February","classic_bike",1963,2021
"member",25,"February","electric_bike",667,2021
"member",26,"February","classic_bike",2282,2021
"member",26,"February","electric_bike",762,2021
"member",27,"February","classic_bike",3250,2021
"member",27,"February","electric_bike",1019,2021
"member",28,"February","classic_bike",1753,2021
"member",28,"February","electric_bike",626,2021
"casual",1,"March","classic_bike",276,2021
"casual",1,"March","docked_bike",68,2021
"casual",1,"March","electric_bike",238,2021
"casual",2,"March","classic_bike",393,2021
"casual",2,"March","docked_bike",109,2021
"casual",2,"March","electric_bike",293,2021
"casual",3,"March","classic_bike",800,2021
"casual",3,"March","docked_bike",188,2021
"casual",3,"March","electric_bike",486,2021
"casual",4,"March","classic_bike",418,2021
"casual",4,"March","docked_bike",90,2021
"casual",4,"March","electric_bike",210,2021
"casual",5,"March","classic_bike",850,2021
"casual",5,"March","docked_bike",190,2021
"casual",5,"March","electric_bike",434,2021
"casual",6,"March","classic_bike",1542,2021
"casual",6,"March","docked_bike",544,2021
"casual",6,"March","electric_bike",589,2021
"casual",7,"March","classic_bike",1524,2021
"casual",7,"March","docked_bike",514,2021
"casual",7,"March","electric_bike",555,2021
"casual",8,"March","classic_bike",1841,2021
"casual",8,"March","docked_bike",587,2021
"casual",8,"March","electric_bike",697,2021
"casual",9,"March","classic_bike",2328,2021
"casual",9,"March","docked_bike",657,2021
"casual",9,"March","electric_bike",804,2021
"casual",10,"March","classic_bike",1272,2021
"casual",10,"March","docked_bike",341,2021
"casual",10,"March","electric_bike",585,2021
"casual",11,"March","classic_bike",1315,2021
"casual",11,"March","docked_bike",337,2021
"casual",11,"March","electric_bike",610,2021
"casual",12,"March","classic_bike",1290,2021
"casual",12,"March","docked_bike",325,2021
"casual",12,"March","electric_bike",595,2021
"casual",13,"March","classic_bike",3779,2021
"casual",13,"March","docked_bike",1302,2021
"casual",13,"March","electric_bike",1409,2021
"casual",14,"March","classic_bike",1229,2021
"casual",14,"March","docked_bike",377,2021
"casual",14,"March","electric_bike",580,2021
"casual",15,"March","classic_bike",168,2021
"casual",15,"March","docked_bike",35,2021
"casual",15,"March","electric_bike",165,2021
"casual",16,"March","classic_bike",457,2021
"casual",16,"March","docked_bike",115,2021
"casual",16,"March","electric_bike",338,2021
"casual",17,"March","classic_bike",410,2021
"casual",17,"March","docked_bike",84,2021
"casual",17,"March","electric_bike",313,2021
"casual",18,"March","classic_bike",430,2021
"casual",18,"March","docked_bike",105,2021
"casual",18,"March","electric_bike",382,2021
"casual",19,"March","classic_bike",1115,2021
"casual",19,"March","docked_bike",326,2021
"casual",19,"March","electric_bike",809,2021
"casual",20,"March","classic_bike",3538,2021
"casual",20,"March","docked_bike",1426,2021
"casual",20,"March","electric_bike",1610,2021
"casual",21,"March","classic_bike",5215,2021
"casual",21,"March","docked_bike",2192,2021
"casual",21,"March","electric_bike",1870,2021
"casual",22,"March","classic_bike",2524,2021
"casual",22,"March","docked_bike",943,2021
