"Time_Range","member_casual","month","rideable_type","count","Year"
"10-12","casual","May","docked_bike",4143,2021
"10-12","casual","May","electric_bike",7987,2021
"10-12","member","May","classic_bike",17900,2021
"10-12","member","May","electric_bike",8374,2021
"12-14","casual","May","classic_bike",18308,2021
"12-14","casual","May","docked_bike",6518,2021
"12-14","casual","May","electric_bike",12113,2021
"12-14","member","May","classic_bike",23134,2021
"12-14","member","May","electric_bike",10723,2021
"14-16","casual","May","classic_bike",19917,2021
"14-16","casual","May","docked_bike",7249,2021
"14-16","casual","May","electric_bike",13296,2021
"14-16","member","May","classic_bike",24188,2021
"14-16","member","May","electric_bike",11359,2021
"16-18","casual","May","classic_bike",23314,2021
"16-18","casual","May","docked_bike",7623,2021
"16-18","casual","May","electric_bike",16331,2021
"16-18","member","May","classic_bike",36410,2021
"16-18","member","May","electric_bike",15937,2021
"18-20","casual","May","classic_bike",18632,2021
"18-20","casual","May","docked_bike",6181,2021
"18-20","casual","May","electric_bike",13200,2021
"18-20","member","May","classic_bike",29309,2021
"18-20","member","May","electric_bike",13656,2021
"20-22","casual","May","classic_bike",10034,2021
"20-22","casual","May","docked_bike",4086,2021
"20-22","casual","May","electric_bike",8183,2021
"20-22","member","May","classic_bike",12979,2021
"20-22","member","May","electric_bike",7491,2021
"22-24","casual","May","classic_bike",7016,2021
"22-24","casual","May","docked_bike",2870,2021
"22-24","casual","May","electric_bike",6057,2021
"22-24","member","May","classic_bike",6216,2021
"22-24","member","May","electric_bike",4455,2021
"0-2","casual","June","classic_bike",7697,2021
"0-2","casual","June","docked_bike",2570,2021
"0-2","casual","June","electric_bike",5523,2021
"0-2","member","June","classic_bike",4406,2021
"0-2","member","June","electric_bike",2895,2021
"2-4","casual","June","classic_bike",3478,2021
"2-4","casual","June","docked_bike",1070,2021
"2-4","casual","June","electric_bike",2544,2021
"2-4","member","June","classic_bike",1555,2021
"2-4","member","June","electric_bike",1188,2021
"4-6","casual","June","classic_bike",1456,2021
"4-6","casual","June","docked_bike",404,2021
"4-6","casual","June","electric_bike",1427,2021
"4-6","member","June","classic_bike",3077,2021
"4-6","member","June","electric_bike",1412,2021
"6-8","casual","June","classic_bike",4505,2021
