"Day","month","member_casual","rideable_type","mean_count","Year"
"Sat","June","casual","classic_bike",10328,2021
"Sat","June","casual","docked_bike",2810,2021
"Sat","June","casual","electric_bike",5795,2021
"Sat","June","member","classic_bike",8039,2021
"Sat","June","member","electric_bike",3606,2021
"Sun","July","casual","classic_bike",9966,2021
"Sun","July","casual","docked_bike",2618,2021
"Sun","July","casual","electric_bike",4853,2021
"Sun","July","member","classic_bike",7090,2021
"Sun","July","member","electric_bike",2847,2021
"Mon","July","casual","classic_bike",6349,2021
"Mon","July","casual","docked_bike",1774,2021
"Mon","July","casual","electric_bike",3956,2021
"Mon","July","member","classic_bike",8199,2021
"Mon","July","member","electric_bike",3426,2021
"Tue","July","casual","classic_bike",5746,2021
"Tue","July","casual","docked_bike",1299,2021
"Tue","July","casual","electric_bike",4306,2021
"Tue","July","member","classic_bike",9036,2021
"Tue","July","member","electric_bike",4060,2021
"Wed","July","casual","classic_bike",6020,2021
"Wed","July","casual","docked_bike",1331,2021
"Wed","July","casual","electric_bike",4288,2021
"Wed","July","member","classic_bike",9338,2021
"Wed","July","member","electric_bike",4047,2021
"Thu","July","casual","classic_bike",6195,2021
"Thu","July","casual","docked_bike",1213,2021
"Thu","July","casual","electric_bike",3961,2021
"Thu","July","member","classic_bike",9064,2021
"Thu","July","member","electric_bike",3822,2021
"Fri","July","casual","classic_bike",7588,2021
"Fri","July","casual","docked_bike",1733,2021
"Fri","July","casual","electric_bike",5073,2021
"Fri","July","member","classic_bike",8648,2021
"Fri","July","member","electric_bike",4196,2021
"Sat","July","casual","classic_bike",12051,2021
"Sat","July","casual","docked_bike",2977,2021
"Sat","July","casual","electric_bike",5617,2021
"Sat","July","member","classic_bike",8441,2021
"Sat","July","member","electric_bike",3466,2021
"Sun","August","casual","classic_bike",10180,2021
"Sun","August","casual","docked_bike",2098,2021
"Sun","August","casual","electric_bike",4989,2021
"Sun","August","member","classic_bike",8073,2021
"Sun","August","member","electric_bike",3212,2021
"Mon","August","casual","classic_bike",5038,2021
"Mon","August","casual","docked_bike",1075,2021
"Mon","August","casual","electric_bike",3853,2021
"Mon","August","member","classic_bike",8300,2021
"Mon","August","member","electric_bike",3736,2021
"Tue","August","casual","classic_bike",4697,2021
"Tue","August","casual","docked_bike",921,2021
"Tue","August","casual","electric_bike",3844,2021
"Tue","August","member","classic_bike",8653,2021
"Tue","August","member","electric_bike",4070,2021
"Wed","August","casual","classic_bike",5252,2021
"Wed","August","casual","docked_bike",964,2021
"Wed","August","casual","electric_bike",3791,2021
"Wed","August","member","classic_bike",9022,2021
"Wed","August","member","electric_bike",4034,2021
"Thu","August","casual","classic_bike",6330,2021
"Thu","August","casual","docked_bike",1154,2021
"Thu","August","casual","electric_bike",4262,2021
"Thu","August","member","classic_bike",9588,2021
"Thu","August","member","electric_bike",4084,2021
"Fri","August","casual","classic_bike",8082,2021
"Fri","August","casual","docked_bike",1575,2021
"Fri","August","casual","electric_bike",4964,2021
"Fri","August","member","classic_bike",9101,2021
"Fri","August","member","electric_bike",4200,2021
"Sat","August","casual","classic_bike",12938,2021
